req_ts,unique_id,railroad,origination_time,trip_id,train_no,route,direction,stop,scheduled_arrival_time,arrival_time,scheduled_departure_time,departure_time,schedule_relationship,trip_schedule_relationship,inferred_from_schedule
,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Lincoln,1785556260,1785556260,1785556260,1785556260,SCHEDULED,SCHEDULED,True
,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Kendal Green,1785556620,1785556620,1785556620,1785556620,SCHEDULED,SCHEDULED,True
1785556980,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Brandeis/Roberts,1785556800,1785556969,1785556800,1785556969,SCHEDULED,SCHEDULED,False
1785557190,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Waltham,1785557040,1785557176,1785557040,1785557176,SCHEDULED,SCHEDULED,False
1785557400,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Waverley,1785557340,1785557412,1785557340,1785557412,SCHEDULED,SCHEDULED,False
1785557550,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Belmont,1785557460,1785557537,1785557460,1785557537,SCHEDULED,SCHEDULED,False
1785557760,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,Porter,1785557820,1785557746,1785557820,1785557820,SCHEDULED,SCHEDULED,False
1785558420,MBTA|20260731|448|NorthBase-825790-448,MBTA,1785552900,NorthBase-825790-448,448,Fitchburg Line,Inbound,North Station,1785558660,1785558440,1785558660,,SCHEDULED,SCHEDULED,False
,MBTA|20260731|892|WMLRailJob-841864-892,MBTA,1785554700,WMLRailJob-841864-892,892,Providence/Stoughton Line,Inbound,Providence,1785554700,1785554700,1785554700,1785554700,SCHEDULED,SCHEDULED,True
,MBTA|20260731|892|WMLRailJob-841864-892,MBTA,1785554700,WMLRailJob-841864-892,892,Providence/Stoughton Line,Inbound,Pawtucket/Central Falls,1785555060,1785555060,1785555060,1785555060,SCHEDULED,SCHEDULED,True
,MBTA|20260731|892|WMLRailJob-841864-892,MBTA,1785554700,WMLRailJob-841864-892,892,Providence/Stoughton Line,Inbound,Attleboro,1785555840,1785555840,1785555840,1785555840,SCHEDULED,SCHEDULED,True
1785556860,MBTA|20260731|892|WMLRailJob-841864-892,MBTA,1785554700,WMLRailJob-841864-892,892,Providence/Stoughton Line,Inbound,Mansfield,1785556620,1785556823,1785556620,1785556823,SCHEDULED,SCHEDULED,False
1785557250,MBTA|20260731|892|WMLRailJob-841864-892,MBTA,1785554700,WMLRailJob-841864-892,892,Providence/Stoughton Line,Inbound,Sharon,1785557160,1785557236,1785557160,1785557236,SCHEDULED,SCHEDULED,False
1785557610,MBTA|20260731|892|WMLRailJob-841864-892,MBTA,1785554700,WMLRailJob-841864-892,892,Providence/Stoughton Line,Inbound,Canton Junction,1785557460,1785557583,1785557460,1785557583,SCHEDULED,SCHEDULED,False
1785557880,MBTA|20260731|892|WMLRailJob-841864-892,MBTA,1785554700,WMLRailJob-841864-892,892,Providence/Stoughton Line,Inbound,Route 128,1785557760,1785557846,1785557760,1785557846,SCHEDULED,SCHEDULED,False
1785558150,MBTA|20260731|892|WMLRailJob-841864-892,MBTA,1785554700,WMLRailJob-841864-892,892,Providence/Stoughton Line,Inbound,Readville,1785558000,1785558107,1785558000,1785558107,SCHEDULED,SCHEDULED,False
1785558360,MBTA|20260731|892|WMLRailJob-841864-892,MBTA,1785554700,WMLRailJob-841864-892,892,Providence/Stoughton Line,Inbound,Hyde Park,1785558120,1785558311,1785558120,1785558311,SCHEDULED,SCHEDULED,False
1785558840,MBTA|20260731|892|WMLRailJob-841864-892,MBTA,1785554700,WMLRailJob-841864-892,892,Providence/Stoughton Line,Inbound,Ruggles,1785558840,1785558645,1785558840,1785558645,SCHEDULED,SCHEDULED,False
1785559080,MBTA|20260731|892|WMLRailJob-841864-892,MBTA,1785554700,WMLRailJob-841864-892,892,Providence/Stoughton Line,Inbound,Back Bay,1785559080,1785558809,1785559080,1785558809,SCHEDULED,SCHEDULED,False
1785559380,MBTA|20260731|892|WMLRailJob-841864-892,MBTA,1785554700,WMLRailJob-841864-892,892,Providence/Stoughton Line,Inbound,South Station,1785559380,1785559379,1785559380,,SCHEDULED,SCHEDULED,False
,MBTA|20260731|792|WMLRailJob-842140-792,MBTA,1785554880,WMLRailJob-842140-792,792,Franklin/Foxboro Line,Inbound,Forge Park/495,1785554880,1785554880,1785554880,1785554880,SCHEDULED,SCHEDULED,True
,MBTA|20260731|792|WMLRailJob-842140-792,MBTA,1785554880,WMLRailJob-842140-792,792,Franklin/Foxboro Line,Inbound,Franklin,1785555300,1785555300,1785555300,1785555300,SCHEDULED,SCHEDULED,True
,MBTA|20260731|792|WMLRailJob-842140-792,MBTA,1785554880,WMLRailJob-842140-792,792,Franklin/Foxboro Line,Inbound,Norfolk,1785555720,1785555720,1785555720,1785555720,SCHEDULED,SCHEDULED,True
,MBTA|20260731|792|WMLRailJob-842140-792,MBTA,1785554880,WMLRailJob-842140-792,792,Franklin/Foxboro Line,Inbound,Walpole,1785556140,1785556140,1785556140,1785556140,SCHEDULED,SCHEDULED,True
,MBTA|20260731|792|WMLRailJob-842140-792,MBTA,1785554880,WMLRailJob-842140-792,792,Franklin/Foxboro Line,Inbound,Windsor Gardens,1785556320,1785556320,1785556320,1785556320,SCHEDULED,SCHEDULED,True
